,Air measurement,Tree number_x,Air-tree ID,Distance_to_tree,objectid,lat,lon,Tree_within_d_(default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
182,1128,1977,1128_1977,2.8780395143570905,375174,51.52154699713007,-0.1350407004354772,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
183,1415,1366,1415_1366,4.012963081931913,373050,51.525984093546896,-0.1326220035552839,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
186,1416,1368,1416_1368,4.4646079491860355,373052,51.52587549388419,-0.1329206004738319,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
189,1423,1369,1423_1369,2.3062337356570515,373053,51.525830395519776,-0.1330219060181871,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
187,1424,1368,1424_1368,1.4540410786689428,373052,51.52587549388419,-0.1329206004738319,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
188,1425,1368,1425_1368,2.9067601145543938,373052,51.52587549388419,-0.1329206004738319,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
190,1426,1367,1426_1367,4.400328244900841,373051,51.52592619508507,-0.1327729001640775,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
191,1427,1367,1427_1367,2.7233569383771847,373051,51.52592619508507,-0.1327729001640775,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
184,1430,1366,1430_1366,4.0649381154807305,373050,51.525984093546896,-0.1326220035552839,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
185,1431,1366,1431_1366,3.4527418212958003,373050,51.525984093546896,-0.1326220035552839,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
192,1432,1365,1432_1365,3.116841481376369,373049,51.526018694043245,-0.1325385048985222,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
193,1433,1365,1433_1365,3.4737726628213434,373049,51.526018694043245,-0.1325385048985222,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
194,1434,1364,1434_1364,1.158143940718015,373048,51.52605319768201,-0.1324491053818412,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
195,1515,651,1515_651,4.930082609030785,81331,51.5273058936,-0.1303891018033083,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,17.0,54.0,,20201127,20210218
196,1531,651,1531_651,3.5889163307232894,81331,51.5273058936,-0.1303891018033083,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,17.0,54.0,,20201127,20210218
197,1532,651,1532_651,4.396112619016155,81331,51.5273058936,-0.1303891018033083,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,17.0,54.0,,20201127,20210218
198,1545,2276,1545_2276,4.891786306537423,642444,51.52755449712287,-0.1297639012336409,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
199,1546,2276,1546_2276,4.41657518156305,642444,51.52755449712287,-0.1297639012336409,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
200,1590,940,1590_940,4.953676094500614,366148,51.527550093829575,-0.1295449063181144,True,Camden,Alder,Italian Alder,Alnus cordata,,Unknown,,,,,20180214,20210218
201,1616,816,1616_816,2.078012734422012,364171,51.52686949819336,-0.1288217008112346,True,Camden,Maple,Norway Maple,Acer platanoides,,Unknown,,,,,20180214,20210218
202,1620,816,1620_816,1.326793169121197,364171,51.52686949819336,-0.1288217008112346,True,Camden,Maple,Norway Maple,Acer platanoides,,Unknown,,,,,20180214,20210218
203,1621,816,1621_816,3.277723851652154,364171,51.52686949819336,-0.1288217008112346,True,Camden,Maple,Norway Maple,Acer platanoides,,Unknown,,,,,20180214,20210218
204,1722,99,1722_99,3.6181467029077483,366399,51.52782529592524,-0.1262293010949615,True,Camden,Other,June Berry,,,Unknown,,,,,20180214,20210218
205,1738,99,1738_99,1.1161600381157213,366399,51.52782529592524,-0.1262293010949615,True,Camden,Other,June Berry,,,Unknown,,,,,20180214,20210218
206,1764,2177,1764_2177,3.0282799992957785,379950,51.528221495449614,-0.1252471059559496,True,Camden,Whitebeam,Common Whitebeam ,Sorbus aria,,Unknown,,,,,20180214,20210218
207,1765,2177,1765_2177,4.6126285899396455,379950,51.528221495449614,-0.1252471059559496,True,Camden,Whitebeam,Common Whitebeam ,Sorbus aria,,Unknown,,,,,20180214,20210218
208,1770,2177,1770_2177,4.774200530920249,379950,51.528221495449614,-0.1252471059559496,True,Camden,Whitebeam,Common Whitebeam ,Sorbus aria,,Unknown,,,,,20180214,20210218
209,1773,2177,1773_2177,4.958253819497431,379950,51.528221495449614,-0.1252471059559496,True,Camden,Whitebeam,Common Whitebeam ,Sorbus aria,,Unknown,,,,,20180214,20210218
210,1774,2177,1774_2177,4.844493386953119,379950,51.528221495449614,-0.1252471059559496,True,Camden,Whitebeam,Common Whitebeam ,Sorbus aria,,Unknown,,,,,20180214,20210218
211,1780,2769,1780_2769,4.409129984741134,370365,51.52799589931969,-0.1251382008194932,True,Camden,Ash,Raywood Ash ,Fraxinus oxycarpa 'Raywood',,Unknown,,,,,20180214,20210218
212,1811,1352,1811_1352,4.837161851987954,372947,51.52749989926824,-0.1240960061549248,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
215,1812,1353,1812_1353,4.060091908569541,372948,51.52750789374117,-0.1240351051091084,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
213,1812,1352,1812_1352,1.286992618195446,372947,51.52749989926824,-0.1240960061549248,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
214,1813,1352,1813_1352,4.441790778697979,372947,51.52749989926824,-0.1240960061549248,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
216,1813,1353,1813_1353,0.19012931711439812,372948,51.52750789374117,-0.1240351051091084,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
218,1813,1354,1813_1354,4.008368080515162,372949,51.52751689404251,-0.1239771023392836,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
